trip_date,trip_origin,trip_destination,start_odometer,end_odometer,total_km,ab_km,bc_km,mb_km,on_km,sk_km,ab_fuel,bc_fuel,mb_fuel,on_fuel,sk_fuel,matching_invoice_number,invoice_date,invoice_time,invoice_location,total_cost,source_log,total_fuel_litres,fuel_source,fuel_source_reliability,km_per_tank,avg_fuel_per_tank,fuel_litres_per_km,cycle_fuel_per_km,fuel_cost_per_km,provincial_sum_km,km_reconciliation_gap,odometer_gap,cross_border_trip,ab_dist_prop,ab_fuel_prop,ab_dist_fuel_variance,bc_dist_prop,bc_fuel_prop,bc_dist_fuel_variance,mb_dist_prop,mb_fuel_prop,mb_dist_fuel_variance,on_dist_prop,on_fuel_prop,on_dist_fuel_variance,sk_dist_prop,sk_fuel_prop,sk_dist_fuel_variance,weekly_avg_distance_km,weekly_avg_fuel_litres,monthly_avg_distance_km,monthly_avg_fuel_litres,dist_to_weekly_ratio,fuel_to_weekly_ratio,dist_to_monthly_ratio,fuel_to_monthly_ratio,forest_prediction,anomaly_score,anomaly_source,Route Context
2022-01-27,"Fort St. Jhon, BC ","Nisku, AB ",713950.0,714630.0,680.0,530.0,150.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,650.0,provincial_log,2,1450.0,670.0,0.9558823529411765,0.46206896551724136,0.0,680.0,0.0,0.0,1.0,0.7794117647058824,1.0,-0.22058823529411764,0.22058823529411764,0.0,0.22058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,524.9,810.8333333333334,589.625,0.918918918918919,1.2383311106877501,0.8386433710174717,1.1023955904176383,1,-0.40674615041633316,Isolation Forest,"Fort St. Jhon, BC  ➔ Nisku, AB "
2022-01-30,"Nisku, AB ","Fort St. Jhon, BC ",714630.0,715230.0,600.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,670.0,provincial_log_nearby,1,1450.0,670.0,1.1166666666666667,0.46206896551724136,0.0,600.0,0.0,0.0,1.0,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657.5,624.375,800.7692307692307,594.2692307692307,0.9125475285171103,1.073073073073073,0.7492795389048992,1.1274351174681252,1,-0.4833501201495663,Isolation Forest,"Nisku, AB  ➔ Fort St. Jhon, BC "
2022-02-01,"Nisku, AB ","Grande Prairie, AB ",702870.0,703370.0,500.0,500.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,500.0,provincial_log,2,1070.0,600.0,1.0,0.5607476635514018,0.0,500.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.0,642.5,790.6666666666666,605.7,0.7082152974504249,0.7782101167315175,0.6323777403035413,0.8254911672445104,1,-0.4612326910628754,Isolation Forest,"Nisku, AB  ➔ Grande Prairie, AB "
2022-02-14,"Williams Lake, BC ","Nisku, AB ",721780.0,722830.0,1050.0,550.0,500.0,0.0,0.0,0.0,0.0,646.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,646.0,provincial_log,2,800.0,663.0,0.6152380952380953,0.82875,0.0,1050.0,0.0,0.0,1.0,0.5238095238095238,0.0,0.5238095238095238,0.47619047619047616,1.0,-0.5238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,598.0,749.0,596.9666666666667,0.875,1.080267558528428,1.4018691588785046,1.0821374727790496,1,-0.5198474839959983,Isolation Forest,"Williams Lake, BC  ➔ Nisku, AB "
2022-02-15,"Nisku, AB ","Fort St. Jhon, BC ",722830.0,723630.0,800.0,650.0,150.0,0.0,0.0,0.0,680.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,680.0,provincial_log,2,850.0,665.0,0.85,0.7823529411764706,0.0,800.0,0.0,0.0,1.0,0.8125,1.0,-0.1875,0.1875,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1125.0,622.0,767.8125,600.03125,0.7111111111111111,1.0932475884244373,1.0419210419210418,1.133274308629759,1,-0.4136536314834382,Isolation Forest,"Nisku, AB  ➔ Fort St. Jhon, BC "
2022-02-16,"Fort St. Jhon, BC ","Nisku, AB ",723630.0,724480.0,850.0,700.0,150.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,650.0,provincial_log,2,1020.0,525.0,0.7647058823529411,0.5147058823529411,0.0,850.0,0.0,0.0,1.0,0.8235294117647058,1.0,-0.17647058823529416,0.17647058823529413,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.6666666666666,641.3333333333334,769.7058823529412,604.7352941176471,0.8360655737704918,1.0135135135135134,1.104317921283913,1.0748504450172656,1,-0.39284852450842705,Isolation Forest,"Fort St. Jhon, BC  ➔ Nisku, AB "
2022-02-18,"Grande Prairie, AB ","Nisku, AB ",724850.0,725500.0,650.0,650.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,400.0,provincial_log,2,800.0,475.0,0.6153846153846154,0.59375,0.0,650.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,854.0,619.8,763.0555555555555,596.1944444444445,0.7611241217798594,0.6453694740238787,0.8518383691299599,0.6709220519032754,1,-0.45696161794822016,Isolation Forest,"Grande Prairie, AB  ➔ Nisku, AB "
2022-02-21,"Nisku, AB ","Fort St. Jhon, BC ",725500.0,726300.0,800.0,650.0,150.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,550.0,provincial_log,2,1150.0,640.0,0.6875,0.5565217391304348,0.0,800.0,0.0,0.0,1.0,0.8125,1.0,-0.1875,0.1875,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.0,580.2,725.3125,606.53125,1.075268817204301,0.9479489831092726,1.1029728565273589,0.9067958163738472,1,-0.39090383580798016,Isolation Forest,"Nisku, AB  ➔ Fort St. Jhon, BC "
2022-02-22,"Fort St. Jhon, BC ",Nisku to Calgary ,726300.0,727450.0,1150.0,1000.0,150.0,0.0,0.0,0.0,730.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,730.0,provincial_log,2,1200.0,705.0,0.6347826086956522,0.5875,0.0,1150.0,0.0,0.0,1.0,0.8695652173913043,1.0,-0.13043478260869568,0.13043478260869565,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0,561.0,729.7058823529412,603.2058823529412,1.6570605187319885,1.3012477718360071,1.5759774284562675,1.2102003998244673,1,-0.47092374698990996,Isolation Forest,"Fort St. Jhon, BC  ➔ Nisku to Calgary "
2022-02-23,Calgary to Grande Prairie ,"Nisku, AB ",727450.0,728650.0,1200.0,1200.0,0.0,0.0,0.0,0.0,680.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,680.0,provincial_log,2,1100.0,560.0,0.5666666666666667,0.509090909090909,0.0,1200.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,571.0,753.0555555555555,610.25,1.5706806282722514,1.1908931698774081,1.5935079306528956,1.1142974190905366,1,-0.4606953895148709,Isolation Forest,"Calgary to Grande Prairie  ➔ Nisku, AB "
