trip_date,trip_origin,trip_destination,start_odometer,end_odometer,total_km,ab_km,bc_km,mb_km,on_km,sk_km,ab_fuel,bc_fuel,mb_fuel,on_fuel,sk_fuel,matching_invoice_number,invoice_date,invoice_time,invoice_location,total_cost,source_log,total_fuel_litres,fuel_source,fuel_source_reliability,km_per_tank,avg_fuel_per_tank,fuel_litres_per_km,cycle_fuel_per_km,fuel_cost_per_km,provincial_sum_km,km_reconciliation_gap,odometer_gap,cross_border_trip,ab_dist_prop,ab_fuel_prop,ab_dist_fuel_variance,bc_dist_prop,bc_fuel_prop,bc_dist_fuel_variance,mb_dist_prop,mb_fuel_prop,mb_dist_fuel_variance,on_dist_prop,on_fuel_prop,on_dist_fuel_variance,sk_dist_prop,sk_fuel_prop,sk_dist_fuel_variance,weekly_avg_distance_km,weekly_avg_fuel_litres,monthly_avg_distance_km,monthly_avg_fuel_litres,dist_to_weekly_ratio,fuel_to_weekly_ratio,dist_to_monthly_ratio,fuel_to_monthly_ratio,anomaly_source,anomaly_score,Primary Driver,Secondary Driver,Multi-Feature Interaction Spike,Route Context,forest_prediction
2022-02-03,"Fort St. Jhon, BC ",Nisku to Fox Creek ,732400.0,733470.0,1070.0,920.0,150.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,700.0,provincial_log,2,735.0,625.0,0.6542056074766355,0.8503401360544217,0.0,1070.0,0.0,29030.0,1.0,0.8598130841121495,1.0,-0.14018691588785048,0.14018691588785046,0.0,0.14018691588785046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657.5,627.5,770.6666666666666,595.7,1.6273764258555132,1.1155378486055776,1.38840830449827,1.1750881316098707,Deterministic,-1.0,Rule-Based Violation,Odometer gap,N/A,"Fort St. Jhon, BC  ➔ Nisku to Fox Creek ",
2022-02-05,"Abbotsford, BC ","Valemount, BC ",771515.0,772250.0,735.0,0.0,735.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,550.0,provincial_log,2,2550.0,598.0,0.7482993197278912,0.23450980392156862,0.0,735.0,0.0,38045.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.0,640.0,772.0,605.7,0.9735099337748344,0.859375,0.9520725388601037,0.9080402839689614,Deterministic,-1.0,Rule-Based Violation,Odometer gap,N/A,"Abbotsford, BC  ➔ Valemount, BC ",
2022-02-06,"Nisku to Fort Sask, ","Nisku, AB ",787800.0,788100.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,598.0,provincial_log_nearby,1,2550.0,598.0,1.9933333333333334,0.23450980392156862,0.0,300.0,0.0,15550.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751.0,622.0,785.6666666666666,602.3666666666667,0.3994673768308921,0.9614147909967846,0.3818413237165889,0.9927508162248907,Deterministic,-1.0,Rule-Based Violation,Odometer gap,N/A,"Nisku to Fort Sask,  ➔ Nisku, AB ",
2022-02-13,Nisku to Kamloops ,"Williams Lake,BC ",720580.0,721780.0,1200.0,500.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,598.0,provincial_log_nearby,1,2550.0,598.0,0.49833333333333335,0.23450980392156862,0.0,1200.0,0.0,0.0,1.0,0.4166666666666667,0.0,0.4166666666666667,0.5833333333333334,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,598.0,739.0,601.5666666666667,4.0,1.0,1.6238159675236807,0.9940710367374078,Deterministic,-1.0,Rule-Based Violation,None,N/A,"Nisku to Kamloops  ➔ Williams Lake,BC ",
2022-02-25,"Prince George, BC ","Nisku, AB ",729750.0,730600.0,850.0,450.0,350.0,0.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,340.0,provincial_log,2,1000.0,435.0,0.4,0.435,0.0,800.0,50.0,0.0,1.0,0.5294117647058824,0.0,0.5294117647058824,0.4117647058823529,1.0,-0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.0,560.0,816.9444444444445,604.1388888888889,0.8673469387755102,0.6071428571428571,1.0404624277456647,0.5627844958388891,Deterministic,-1.0,Rule-Based Violation,Distance mismatch,N/A,"Prince George, BC  ➔ Nisku, AB ",
2022-03-03,Fox Creek to Grande Prairie ,Nisku to Valleyview ,733470.0,734550.0,1080.0,1080.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,700.0,provincial_log,2,500.0,694.0,0.6481481481481481,1.388,0.0,1080.0,0.0,29470.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,481.25,838.5294117647059,572.4705882352941,1.2067039106145252,1.4545454545454546,1.2879691336373202,1.2227702424989724,Deterministic,-1.0,Rule-Based Violation,Odometer gap,N/A,Fox Creek to Grande Prairie  ➔ Nisku to Valleyview ,
2022-03-05,"Valemount, BC ","Nisku, AB ",772250.0,772750.0,500.0,450.0,50.0,0.0,0.0,0.0,688.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,688.0,provincial_log,2,1050.0,669.0,1.376,0.6371428571428571,0.0,500.0,0.0,37700.0,1.0,0.9,1.0,-0.09999999999999998,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903.3333333333334,615.0,872.6470588235294,584.2352941176471,0.5535055350553505,1.1186991869918699,0.5729693292888439,1.1776077325815546,Deterministic,-1.0,Rule-Based Violation,Odometer gap,N/A,"Valemount, BC  ➔ Nisku, AB ",
2022-04-04,"Nisku, AB ","Clairmont, AB ",755050.0,755600.0,550.0,550.0,0.0,0.0,0.0,0.0,963.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,963.0,provincial_log,2,2000.0,731.5,1.750909090909091,0.36575,0.0,550.0,0.0,19400.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,930.0,678.6,937.5,588.1875,0.5913978494623656,1.4190981432360743,0.5866666666666667,1.637233025183296,Deterministic,-1.0,Rule-Based Violation,Odometer gap,N/A,"Nisku, AB  ➔ Clairmont, AB ",
2022-04-05,nisku to grande prairie ,"Nisku, AB ",772750.0,773800.0,1050.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,731.5,provincial_log_nearby,1,2000.0,731.5,0.6966666666666667,0.36575,0.0,1050.0,0.0,17150.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.0,761.2,940.625,605.375,1.2209302325581395,0.9609826589595375,1.1162790697674418,1.208341936816023,Deterministic,-1.0,Rule-Based Violation,Odometer gap,N/A,"nisku to grande prairie  ➔ Nisku, AB ",
2022-04-22,"Nisku, AB ","Nisku, AB ",767050.0,767170.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,545.0,provincial_log_nearby,1,1220.0,545.0,4.541666666666667,0.44672131147540983,0.0,120.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,470.0,902.9411764705883,587.5,0.1348314606741573,1.1595744680851063,0.13289902280130292,0.9276595744680851,Deterministic,-1.0,Rule-Based Violation,None,N/A,"Nisku, AB  ➔ Nisku, AB ",
