invoice_number|date|time|vendor_name|city|province|fuel_type|fuel_grade|quantity|cost_per_litre|cost|total_tax|fed_tax|prov_tax|payment_form|source_file
0.0|99.96036529541016|0.0|99.99835205078125|99.9974365234375|99.9974365234375|0.0|99.9306411743164|99.91561889648438|0.0|0.0|0.0|0.0|0.0|0.0|100.0
0.0|99.98600769042969|0.0|99.98538208007812|99.99998474121094|99.99998474121094|0.0|0.0|0.0|0.0|99.6755142211914|99.44854736328125|0.0|0.0|0.0|100.0
0.0|99.99707794189453|0.0|99.99734497070312|99.99832153320312|99.99832153320312|0.0|0.0|0.0|0.0|99.97960662841797|90.08348083496094|0.0|0.0|0.0|100.0
99.9955062866211|99.98927307128906|0.0|95.75304412841797|99.98040771484375|99.98040771484375|0.0|0.0|99.99535369873047|99.83568572998047|50.06305694580078|99.46914672851562|0.0|0.0|0.0|100.0
99.38594055175781|99.9510269165039|0.0|99.97088623046875|99.99995422363281|99.99995422363281|0.0|0.0|0.0|0.0|99.98483276367188|99.98243713378906|0.0|0.0|0.0|100.0
99.91162872314453|99.99758911132812|99.99626922607422|99.99779510498047|99.99896240234375|99.99896240234375|0.0|0.0|99.33976745605469|61.93325424194336|89.24185943603516|97.69754028320312|97.69754028320312|92.42678833007812|0.0|100.0
99.70093536376953|99.98519134521484|0.0|99.93799591064453|0.0|0.0|0.0|0.0|99.99069213867188|99.99903106689453|99.9992904663086|99.98399353027344|0.0|0.0|0.0|100.0
71.48210906982422|99.99723815917969|0.0|99.99854278564453|99.99854278564453|99.99854278564453|0.0|0.0|0.0|0.0|99.99488830566406|97.01115417480469|0.0|0.0|0.0|100.0
99.54521179199219|99.80192565917969|99.8050308227539|98.63761138916016|99.31470489501953|99.31470489501953|0.0|0.0|99.28036499023438|99.29530334472656|83.32827758789062|73.94131469726562|73.94131469726562|98.81945037841797|0.0|100.0
91.48273468017578|99.99964141845703|0.0|99.99675750732422|99.96488952636719|99.96488952636719|0.0|0.0|0.0|0.0|99.98657989501953|71.4118423461914|0.0|0.0|0.0|100.0
0.0|99.8895492553711|0.0|99.7998046875|95.92792510986328|95.92792510986328|0.0|99.54090881347656|99.61383819580078|0.0|0.0|0.0|0.0|0.0|0.0|100.0
99.38047790527344|99.91788482666016|0.0|99.9716567993164|99.99842834472656|99.99842834472656|0.0|0.0|70.0|0.0|99.9970474243164|97.14928436279297|71.87081909179688|78.50538635253906|0.0|100.0
